CompID,SiteID,DP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRcoil,Cryoprobe,MRsequence,MRbrainregion,MRVoxSize,MRvoxelvolume,MRaverages,MRsoftwareversion,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshim,LW,LW_hz,SNR,SNR_LW_Ratio,CompCheck
compMRS001,S01,DP01,sub-01,Rat,Fischer-344,125,F,201,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769293,2048,45271,3000,FASTMAP-FASTESTMAP,0.0154613465705105,4.64311843061846,85.7211564883786,5544.22320833782,pass
compMRS002,S01,DP01,sub-02,Rat,Fischer-344,125,F,203,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769294,2048,45271,3000,FASTMAP-FASTESTMAP,0.0140536375534422,4.22037672473424,118.706755982933,8446.69257560706,pass
compMRS003,S01,DP01,sub-03,Rat,Fischer-344,125,M,389,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769295,2048,45271,3000,FASTMAP-FASTESTMAP,0.0162372089283855,4.87611456960603,97.9197900198683,6030.58016015839,pass
compMRS004,S01,DP01,sub-04,Rat,Fischer-344,125,M,395,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769296,2048,45271,3000,FASTMAP-FASTESTMAP,0.0158453077240722,4.75842519322672,90.6548125133538,5721.24026191242,pass
compMRS005,S01,DP01,sub-05,Rat,Fischer-344,120,F,225,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769297,2048,45271,3000,FASTMAP-FASTESTMAP,0.0132935245413706,3.9921101958472,125.453565324115,9437.19364519868,pass
compMRS006,S01,DP01,sub-06,Rat,Fischer-344,125,F,201,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769298,2048,45271,3000,FASTMAP-FASTESTMAP,0.0164252208403175,4.93257255146693,96.0623052552546,5848.46354208275,pass
compMRS007,S01,DP01,sub-07,Rat,Fischer-344,126,M,400,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769299,2048,45271,3000,FASTMAP-FASTESTMAP,0.0158665776715682,4.76481017042674,95.5658248586104,6023.08997168668,pass
compMRS008,S01,DP01,sub-08,Rat,Fischer-344,113,M,354,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769300,2048,45271,3000,FASTMAP-FASTESTMAP,0.0124245595572335,3.73115578046811,116.889836712132,9407.96622799231,pass
compMRS009,S02,DP02,sub-01,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0158428609604346,6.34138355670677,48.9032249450684,3086.76733398438,pass
compMRS010,S02,DP02,sub-02,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0188155592243964,7.5312512673931,41.748348236084,2218.82055664062,pass
compMRS011,S02,DP02,sub-03,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0201805062168376,8.07760205562826,36.5312385559082,1810.22412109375,pass
compMRS012,S02,DP02,sub-04,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0148637855426179,5.94948491088048,41.6887245178223,2804.7177734375,pass
compMRS013,S02,DP02,sub-05,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0149127590673761,5.9690934625664,47.8561401367188,3209.07348632812,pass
compMRS014,S02,DP02,sub-06,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0174861939373729,6.99915344790695,34.9109649658203,1996.4873046875,pass
compMRS015,S02,DP02,sub-07,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0156482718421176,6.26348417617646,35.8260231018066,2289.45556640625,pass
compMRS016,S02,DP02,sub-08,Rat,Wistar,NaN,M,NaN,Varian,9.4,"quad Tx/Rx - 2 loops",FALSE,SPECIAL,Lhippocampus,2.0 x 2.8 x 2.0,11.2,160,Vnmrj2.3,NaN,NaN,2.8,4000,FASTMAP-FASTESTMAP,0.0136194186081486,5.45140199076826,41.3912544250488,3039.13525390625,pass
compMRS017,S01,DP03,sub-01,Rat,Fischer-344,125,F,201,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769293,2048,45271,3000,FASTMAP-FASTESTMAP,0.0154270365797688,4.63281497162538,87.3373319703155,5661.31619113749,pass
compMRS018,S01,DP03,sub-02,Rat,Fischer-344,125,F,203,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769294,2048,45271,3000,FASTMAP-FASTESTMAP,0.0130687623978333,3.92461385425359,108.959116738803,8337.37070289593,pass
compMRS019,S01,DP03,sub-03,Rat,Fischer-344,125,M,389,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769295,2048,45271,3000,FASTMAP-FASTESTMAP,0.0167801742695026,5.03916976106714,94.3370844917852,5621.93711320626,pass
compMRS020,S01,DP03,sub-04,Rat,Fischer-344,125,M,395,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769296,2048,45271,3000,FASTMAP-FASTESTMAP,0.0151068969750578,4.53667675058072,90.2013087023823,5970.86938841967,pass
compMRS021,S01,DP03,sub-05,Rat,Fischer-344,120,F,225,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769297,2048,45271,3000,FASTMAP-FASTESTMAP,0.0126087948962628,3.78648254690228,127.017998537012,10073.7619718646,pass
compMRS022,S01,DP03,sub-06,Rat,Fischer-344,125,F,201,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769298,2048,45271,3000,FASTMAP-FASTESTMAP,0.0173905128927428,5.22245438186858,91.5837735680928,5266.30664276217,pass
compMRS023,S01,DP03,sub-07,Rat,Fischer-344,126,M,400,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769299,2048,45271,3000,FASTMAP-FASTESTMAP,0.0155082795430407,4.65721150597674,100.988002118073,6511.87656488892,pass
compMRS024,S01,DP03,sub-08,Rat,Fischer-344,113,M,354,Bruker,7,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,2.5 x 3.5 x 3.5,30.625,256,PV5.1,769300,2048,45271,3000,FASTMAP-FASTESTMAP,0.0123900064489095,3.72077931365956,118.131550434459,9534.42202968803,pass
compMRS025,S03,DP04,sub-01,Mouse,C57BL-6J,93,M,28,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0510900473402564,20.4529191705157,47.4599571739167,928.947214666615,pass
compMRS026,S03,DP04,sub-02,Mouse,C57BL-6J,100,F,25,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0261595578290881,10.4725009541582,97.3062905503832,3719.72229752995,pass
compMRS027,S03,DP04,sub-03,Mouse,C57BL-6J,101,M,34,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0280676915318692,11.2363817763368,120.796372099026,4303.75159146482,pass
compMRS028,S03,DP04,sub-04,Mouse,C57BL-6J,93,M,28,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0219629698649272,8.79247946314556,110.42173667365,5027.63229894435,pass
compMRS029,S03,DP04,sub-05,Mouse,C57BL-6J,109,F,23,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0205222515947519,8.21572418965657,118.673621374454,5782.68036655406,pass
compMRS030,S03,DP04,sub-06,Mouse,C57BL-6J,110,F,21,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.023425466892119,9.37793419365268,98.5528131835474,4207.07999705668,pass
compMRS031,S03,DP04,sub-07,Mouse,C57BL-6J,109,F,22,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Lhippocampus,2.2 x 1.2 x 2.5,6.6,512,PV6.0.1,4401.4,2048,8.26,2500,MAPSHIM,0.0258161711324048,10.3350102219585,70.5324648269281,2732.10401593577,pass
