CompID,SiteID,DP,SubjectInDP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRsequence,MRbrainregion,MRvoxelvolume,MRaverages,MRsoftwareversion,MRcoildetail,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshimmethod,LW,SNR,SNR_LW_Ratio,CompCheck
"compMRS001","S01","DP01",1,"sub-01","Rat","Fischer-344",125,"F",201,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769293,2048,45271,3000,"FASTMAP-FASTESTMAP",6.33192636082089,86.3156418400539,13.6318139096083,"pass"
"compMRS002","S01","DP01",2,"sub-02","Rat","Fischer-344",125,"F",203,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769294,2048,45271,3000,"FASTMAP-FASTESTMAP",4.80438219425872,117.909821009284,24.5421401216139,"pass"
"compMRS003","S01","DP01",3,"sub-03","Rat","Fischer-344",125,"M",389,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769295,2048,45271,3000,"FASTMAP-FASTESTMAP",6.00787908963745,101.897587231597,16.9606587801264,"pass"
"compMRS004","S01","DP01",4,"sub-04","Rat","Fischer-344",125,"M",395,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769296,2048,45271,3000,"FASTMAP-FASTESTMAP",5.23014055620846,93.586098674552,17.8936106341273,"pass"
"compMRS005","S01","DP01",5,"sub-05","Rat","Fischer-344",120,"F",225,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769297,2048,45271,3000,"FASTMAP-FASTESTMAP",4.46842256124124,123.843628461025,27.7152902984679,"pass"
"compMRS006","S01","DP01",6,"sub-06","Rat","Fischer-344",125,"F",201,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769298,2048,45271,3000,"FASTMAP-FASTESTMAP",6.22661583832634,99.3072306192577,15.9488288980344,"pass"
"compMRS007","S01","DP01",7,"sub-07","Rat","Fischer-344",126,"M",400,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769299,2048,45271,3000,"FASTMAP-FASTESTMAP",6.00534151530412,100.863988207012,16.7957122754749,"pass"
"compMRS008","S01","DP01",8,"sub-08","Rat","Fischer-344",113,"M",354,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769300,2048,45271,3000,"FASTMAP-FASTESTMAP",4.58391608195429,104.533681194125,22.8044491489815,"pass"
"compMRS009","S02","DP02",1,"sub-01","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",7.75422020550318,48.9825401306152,6.31688785552979,"pass"
"compMRS010","S02","DP02",2,"sub-02","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",9.36907800579877,42.060474395752,4.48928642272949,"pass"
"compMRS011","S02","DP02",3,"sub-03","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",12.4938838560891,36.6649589538574,2.93463253974915,"pass"
"compMRS012","S02","DP02",4,"sub-04","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",6.8541143005265,40.9683570861816,5.97719192504883,"pass"
"compMRS013","S02","DP02",5,"sub-05","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",7.05106201059917,48.2322807312012,6.8404278755188,"pass"
"compMRS014","S02","DP02",6,"sub-06","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",9.57049156552212,32.3680191040039,3.38206434249878,"pass"
"compMRS015","S02","DP02",7,"sub-07","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",7.76566977376139,34.1835403442383,4.40187931060791,"pass"
"compMRS016","S02","DP02",8,"sub-08","Rat","Wistar",NaN,"M",NaN,"Varian",9.4,"SPECIAL","Lhippocampus",11.2,160,"Vnmrj2.3","",NaN,NaN,2.8,4000,"FASTMAP-FASTESTMAP",6.48665496302913,41.0122833251953,6.32256269454956,"pass"
"compMRS017","S01","DP03",1,"sub-01","Rat","Fischer-344",125,"F",201,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769293,2048,45271,3000,"FASTMAP-FASTESTMAP",6.34945321300159,88.9631261847259,14.0111476059952,"pass"
"compMRS018","S01","DP03",2,"sub-02","Rat","Fischer-344",125,"F",203,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769294,2048,45271,3000,"FASTMAP-FASTESTMAP",4.74892138772085,110.920374725845,23.3569616487333,"pass"
"compMRS019","S01","DP03",3,"sub-03","Rat","Fischer-344",125,"M",389,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769295,2048,45271,3000,"FASTMAP-FASTESTMAP",5.96474251850499,93.1334692430618,15.6139965730499,"pass"
"compMRS020","S01","DP03",4,"sub-04","Rat","Fischer-344",125,"M",395,"Bruker",7,"PRESS","Rhippocampus",30.625,256,"PV5.1","Tx:  86mm volume coil.  Rx:  4ch array, 10mm diameter elements",769296,2048,45271,3000,"FASTMAP-FASTESTMAP",5.46295937036869,90.2669999661785,16.5234617075482,"pass"
